bar_attire,bar_bestnights,bar_category,bar_dancing,bar_happy,bar_name,bar_nhood,bar_outdoor,bar_parking,bar_phone,bar_reservations,bar_tv,bar_wheelchair,creditCard,num_reviews,num_stars,price_range
N/A,N/A,Beer Bar,N/A,N/A,d.b.a.,East Village,Yes,Street,(212) 475-5097,No,Yes,N/A,Yes,430,3.5,$$
N/A,"Thu, Fri, Sat",Pubs,N/A,N/A,Ulysses Folk House,Financial District,Yes,Street,(212) 482-0400,Yes,Yes,N/A,Yes,716,3,$$
N/A,N/A,Bars,N/A,N/A,Edge of Astoria,Astoria,Yes,Street,(929) 331-4231,N/A,Yes,Yes,Yes,3,5,$$
Casual,"Mon, Fri, Sat",Lounges,Yes,Yes,Iron Bar & Lounge,"Midtown West, Theater District, Hell's Kitchen",No,"Valet, Street, Private Lot",(212) 247-1970,Yes,Yes,No,Yes,365,3,$$
N/A,"Wed, Thu, Fri",Lounges,No,Yes,La Biblioteca,"Murray Hill, Midtown East",No,Street,(212) 808-8110,Yes,No,N/A,Yes,376,3.5,$$
Casual,"Thu, Fri, Sat",Pubs,N/A,Yes,Niall’s,Midtown East,No,Street,(212) 888-4648,No,Yes,N/A,Yes,116,4,$$
Dressy,N/A,Lounges,N/A,No,Pegu Club,SoHo,No,Street,(212) 473-7348,Yes,No,N/A,Yes,930,4,$$$
Casual,"Thu, Fri, Sat",Sports Bars,N/A,N/A,Manhattan Proper,"Civic Center, TriBeCa",No,Street,(646) 559-4445,Yes,Yes,N/A,Yes,221,3.5,$$
N/A,N/A,Sports Bars,N/A,N/A,Play Sport Club,TriBeCa,N/A,N/A,(646) 355-0707,N/A,N/A,N/A,N/A,1,5,$$
Casual,N/A,American (Traditional),No,Yes,AWOL Bar & Grill,Kips Bay,No,Street,(646) 682-9405,No,Yes,N/A,Yes,30,4,$$
Casual,N/A,American (New),No,Yes,The Smith,Upper West Side,Yes,Street,(212) 496-5700,Yes,No,N/A,Yes,1378,3.5,$$
Casual,"Thu, Fri, Sat",Bars,No,Yes,The Supply House,"Yorkville, Upper East Side",No,Street,(646) 861-3585,No,Yes,N/A,Yes,292,4,$$
Casual,N/A,Wine Bars,No,Yes,City Vineyard,West Village,Yes,N/A,(347) 349-1204,Yes,Yes,Yes,Yes,392,3.5,$$
Casual,"Thu, Fri, Sat",American (New),No,No,Till & Sprocket,"Chelsea, Midtown West",No,Street,(212) 239-0570,Yes,No,Yes,Yes,143,4,$$
N/A,N/A,Pubs,N/A,Yes,Dublin House,Upper West Side,No,Street,(212) 874-9528,No,Yes,N/A,Yes,64,3.5,$$
Casual,"Fri, Sat",Bars,No,Yes,Oppa,West Village,No,N/A,(646) 410-0503,No,Yes,Yes,Yes,71,4,$$
N/A,N/A,Cocktail Bars,N/A,Yes,Mailroom,Financial District,No,N/A,(646) 476-5004,Yes,N/A,Yes,Yes,13,3.5,$$
N/A,"Thu, Fri, Sat",Dive Bars,No,Yes,The Patriot Saloon,TriBeCa,No,Street,(212) 748-1162,No,Yes,N/A,No,318,3.5,$
N/A,N/A,Bars,N/A,N/A,Mercy,Gramercy,Yes,Street,(212) 253-8061,Yes,Yes,N/A,Yes,257,3.5,$$
Casual,N/A,American (Traditional),N/A,N/A,The Perfect Pint,"Theater District, Midtown West",Yes,Street,(212) 354-1099,Yes,Yes,N/A,Yes,355,3.5,$$
N/A,"Thu, Fri, Sat",Dive Bars,No,Yes,Tile Bar,East Village,No,Street,(212) 254-4317,No,Yes,Yes,No,88,4,$
N/A,N/A,Lounges,No,Yes,Hudson Bar,"Hell's Kitchen, Midtown West",Yes,N/A,(212) 554-6217,Yes,Yes,N/A,Yes,15,3,$$
Casual,"Fri, Sat, Sun",Lounges,Yes,N/A,Cantina Rooftop,"Hell's Kitchen, Midtown West",Yes,Street,(212) 957-1700,Yes,Yes,N/A,Yes,337,2.5,$$
N/A,"Thu, Sat, Sun",Sports Bars,N/A,N/A,Bar-Coastal NYC,"Upper East Side, Yorkville",Yes,Street,(212) 288-6635,No,Yes,N/A,Yes,256,4,$$
Casual,"Fri, Sat, Sun",Bars,No,Yes,The Chelsea Bell,Chelsea,No,N/A,(212) 242-2425,Yes,Yes,Yes,Yes,70,3.5,$$
N/A,N/A,Bars,N/A,Yes,Brady’s Bar,"Yorkville, Upper East Side",No,Street,(212) 861-6070,No,Yes,N/A,Yes,58,3.5,$
N/A,"Thu, Fri, Sat",Sports Bars,No,Yes,Bleecker Street Bar,NoHo,No,Street,(212) 334-0244,Yes,Yes,Yes,Yes,149,3.5,$
Casual,"Mon, Tue, Sat",Bars,No,Yes,The Topaz,East Williamsburg,Yes,Street,(347) 770-7217,Yes,No,No,Yes,90,4.5,$$
N/A,N/A,Bars,No,Yes,L.I.C. Bar,"Hunters Point, Long Island City",Yes,Street,(718) 786-5400,No,Yes,N/A,Yes,296,3.5,$$
Casual,"Thu, Fri, Sat",Irish,N/A,N/A,Cuckoo’s Nest,Woodside,No,Street,(718) 426-5684,Yes,Yes,N/A,Yes,157,4,$$
N/A,N/A,Lounges,N/A,N/A,Goldbar,Little Italy,No,Street,(212) 274-1568,Yes,No,N/A,Yes,225,3,$$$
Casual,"Thu, Fri, Sat",American (New),N/A,Yes,The Liberty,Midtown West,No,Street,(212) 967-4000,Yes,Yes,Yes,Yes,340,3.5,$$
N/A,N/A,Lounges,N/A,Yes,Max Bar,Midtown East,No,Street,(212) 407-2947,Yes,Yes,Yes,Yes,138,2.5,$$$
N/A,N/A,American (Traditional),N/A,Yes,Oxbow Tavern,Upper West Side,Yes,Street,(646) 490-4075,Yes,N/A,N/A,Yes,34,3,$$$
N/A,N/A,Bars,N/A,N/A,Sunita Bar,Lower East Side,Yes,Street,(212) 253-8860,No,No,N/A,Yes,135,4.5,$$
Casual,N/A,American (New),No,Yes,Bar180,Washington Heights,Yes,Street,(646) 928-3283,Yes,Yes,Yes,Yes,79,4,$$
N/A,N/A,Lounges,N/A,No,Living Room Bar,Financial District,Yes,N/A,(646) 826-8642,Yes,Yes,N/A,Yes,57,3,$$$
Casual,"Thu, Fri, Sat",Tapas/Small Plates,No,Yes,Verlaine,Lower East Side,No,Street,(212) 614-2494,Yes,No,Yes,Yes,1335,4,$$
N/A,"Thu, Fri, Sat",Lounges,No,N/A,Watermark,South Street Seaport,Yes,Street,(212) 742-8200,Yes,Yes,N/A,Yes,164,3,$$
Casual,"Fri, Sat, Sun",American (New),No,N/A,Tír na Nóg,"Midtown West, Hell's Kitchen",No,"Garage, Street",(212) 760-0072,Yes,Yes,N/A,Yes,336,4,$$
Casual,"Thu, Fri, Sat",American (New),Yes,Yes,Five Mile Stone,"Yorkville, Upper East Side",Yes,Street,(212) 933-0913,Yes,Yes,Yes,Yes,350,3.5,$$
Casual,"Fri, Sat, Sun",American (New),No,Yes,The Cannibal,"Flatiron, Midtown East",Yes,Street,(212) 686-5480,Yes,Yes,Yes,Yes,566,4,$$
N/A,"Fri, Sat, Sun",Bars,No,Yes,Luckydog,Williamsburg - South Side,Yes,Street,(347) 294-4971,No,No,N/A,Yes,263,4,$
Casual,"Fri, Sat, Sun",Cocktail Bars,N/A,Yes,Blueprint,Park Slope,Yes,Street,(718) 622-6644,No,No,N/A,Yes,301,4.5,$$
Casual,Fri,Cafes,No,Yes,Kind Regards,Lower East Side,No,N/A,(212) 253-0036,Yes,No,Yes,Yes,37,3,$$
N/A,"Tue, Fri, Sat",Bars,No,Yes,Solid State,Woodside,No,N/A,(347) 935-3042,Yes,No,N/A,Yes,49,5,$$
N/A,N/A,Dive Bars,Yes,Yes,Bar None,East Village,No,Street,(212) 777-6663,No,Yes,N/A,Yes,335,3,$
N/A,"Thu, Fri, Sat",Dive Bars,N/A,N/A,Point Break,Midtown West,No,Street,(212) 391-8053,Yes,Yes,N/A,Yes,214,3.5,$$
N/A,N/A,Bars,No,Yes,Doris,"Clinton Hill, Bedford Stuyvesant",Yes,Street,(347) 240-3350,No,No,N/A,Yes,81,4,$$
Casual,"Thu, Fri, Sat",American (Traditional),No,Yes,Fraunces Tavern,Financial District,No,Street,(212) 968-1776,Yes,No,N/A,Yes,731,3.5,$$
N/A,N/A,Pubs,N/A,N/A,Halyards,Gowanus,Yes,Street,(718) 532-8787,Yes,Yes,N/A,Yes,88,4,$$
N/A,N/A,Lounges,N/A,N/A,SoHo Cigar Bar,South Village,No,Street,(212) 941-1781,Yes,Yes,N/A,Yes,196,4.5,$$
Casual,"Mon, Fri, Sat",Pubs,N/A,Yes,PJ Carneys,Midtown West,No,N/A,(212) 664-0056,No,Yes,N/A,Yes,124,3.5,$$
Casual,"Thu, Fri, Sat",American (New),No,Yes,Distilled,TriBeCa,Yes,Street,(646) 809-9490,Yes,Yes,Yes,Yes,726,4,$$
Casual,N/A,Middle Eastern,No,Yes,Kubeh,Greenwich Village,Yes,"Garage, Street",(646) 448-6688,Yes,No,Yes,Yes,106,4,$$
N/A,Fri,Dance Clubs,Yes,No,Friday Night Blues,Flatiron,No,Street,(929) 352-5837,N/A,No,No,No,10,5,$
Casual,N/A,Pubs,N/A,Yes,Sly Fox,East Village,No,Street,(212) 614-3283,No,Yes,N/A,Yes,82,3.5,$
N/A,N/A,Bars,N/A,Yes,The Magician,Lower East Side,No,Street,(212) 673-7851,No,No,N/A,No,164,3.5,$
Casual,"Thu, Fri, Sat",Bars,No,N/A,Hill and Dale,Lower East Side,No,Street,(212) 420-1115,Yes,Yes,N/A,Yes,419,4,$$
Casual,"Thu, Fri, Sat",Bars,Yes,Yes,Fat Buddha,"East Village, Alphabet City",No,Street,(212) 598-0500,Yes,Yes,Yes,Yes,590,4,$$
N/A,"Thu, Fri, Sat",Jazz & Blues,No,Yes,Zinc Bar,Greenwich Village,No,"Valet, Garage, Street",(212) 477-9462,Yes,No,N/A,Yes,171,4,$$
Casual,"Fri, Sat, Sun",Cocktail Bars,No,Yes,The Rookery,Bushwick,Yes,Street,(718) 483-8048,No,Yes,Yes,Yes,202,4,$$
N/A,N/A,Cocktail Bars,No,Yes,The Armory,"Gowanus, Park Slope",Yes,N/A,(929) 337-8476,Yes,No,No,Yes,36,4.5,$$
N/A,N/A,Music Venues,Yes,No,Pier 17,South Street Seaport,Yes,N/A,(212) 732-7678,Yes,Yes,Yes,Yes,46,3.5,$$
Casual,"Fri, Sat, Sun",Bars,No,Yes,The Bonnie,Astoria,Yes,Street,(718) 274-2105,Yes,No,Yes,Yes,487,4,$$
N/A,N/A,Bars,N/A,N/A,Gem-Bar,Midtown West,N/A,N/A,(212) 869-9238,N/A,N/A,N/A,N/A,1,5,$$
Casual,"Tue, Wed, Thu",Gastropubs,N/A,No,Wilfie & Nell,West Village,No,Street,(212) 242-2990,No,No,No,Yes,331,3.5,$$
Casual,Fri,American (New),No,No,While We Were Young,West Village,Yes,Street,(917) 675-6272,No,Yes,No,Yes,196,3.5,$$
N/A,"Tue, Fri, Sat",Jazz & Blues,Yes,No,The Django,TriBeCa,No,N/A,(212) 519-6649,N/A,No,Yes,Yes,74,3.5,$$$
Casual,"Thu, Fri, Sat",American (New),No,Yes,Ivy,"Midtown West, Hell's Kitchen",No,Street,(212) 459-9444,Yes,Yes,N/A,Yes,316,4,$$
Casual,"Thu, Fri, Sun",American (Traditional),No,Yes,Stout NYC FiDi,Financial District,No,Street,(212) 240-9122,Yes,Yes,Yes,Yes,205,3.5,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,Yes,La Sala,Astoria,No,Street,(718) 606-6121,N/A,Yes,Yes,Yes,97,4.5,$$
N/A,N/A,Venues & Event Spaces,N/A,N/A,W XYZ Bar,Long Island City,N/A,N/A,(718) 433-9305,No,N/A,N/A,Yes,2,5,$$
Casual,"Thu, Fri, Sat",Mediterranean,No,No,Covina,Flatiron,No,Garage,(212) 204-0225,Yes,No,N/A,Yes,267,4.5,$$$
Casual,"Mon, Wed, Fri",Lounges,No,N/A,Shalel Kitchen,Upper West Side,Yes,Street,(212) 873-2300,Yes,No,N/A,Yes,571,4,$$
Casual,"Wed, Fri, Sat",Bars,No,Yes,The Gem Saloon,Kips Bay,No,N/A,(646) 612-7757,Yes,Yes,N/A,Yes,125,4,$$
N/A,"Wed, Thu, Fri",Pubs,N/A,Yes,Killarney Rose,Financial District,No,Street,(212) 422-1486,No,Yes,N/A,Yes,139,3.5,$$
Casual,N/A,Irish,No,N/A,The Long Room,"Theater District, Midtown West",No,"Garage, Street",(212) 997-3933,Yes,Yes,Yes,Yes,271,3.5,$$
N/A,N/A,Cocktail Bars,N/A,N/A,Peachy’s,"Chinatown, Civic Center",N/A,N/A,(646) 895-9301,N/A,N/A,N/A,Yes,9,4,$$
Casual,"Tue, Wed, Thu",Chinese,No,No,Decoy,West Village,No,Street,(212) 691-9700,Yes,No,N/A,Yes,333,4.5,$$$
N/A,"Wed, Thu",Bars,N/A,Yes,RPM Bar,Lower East Side,No,N/A,(646) 918-6529,No,Yes,N/A,Yes,66,3.5,$
Casual,"Thu, Fri, Sat",Pubs,No,N/A,McGee’s Pub,Midtown West,No,"Garage, Street",(212) 957-3536,Yes,Yes,N/A,Yes,552,3.5,$$
N/A,"Thu, Fri, Sat",Lounges,Yes,Yes,Home Sweet Home,Lower East Side,No,Street,(212) 226-5709,No,No,Yes,Yes,393,3,$
Casual,N/A,Bars,N/A,Yes,Jake’s Saloon,"Hell's Kitchen, Midtown West",No,Street,(212) 333-3100,No,Yes,N/A,Yes,91,2.5,$$
Casual,"Thu, Fri, Sat",American (New),No,N/A,The Park,Chelsea,Yes,Street,(212) 352-3313,Yes,No,Yes,Yes,1696,3,$$
N/A,N/A,Cocktail Bars,No,Yes,The Honey Well,Harlem,No,N/A,(646) 861-0489,Yes,No,No,Yes,84,4.5,$$
N/A,N/A,Pubs,N/A,N/A,Queen Vic,East Village,No,Street,(212) 228-5357,No,Yes,N/A,Yes,76,4,$
Casual,"Wed, Fri, Sat",American (New),N/A,N/A,Formerly Crow’s,Greenwich Village,No,Street,(212) 361-0077,Yes,Yes,N/A,Yes,65,4,$$
N/A,N/A,Venues & Event Spaces,N/A,N/A,Rose Gold,East Williamsburg,N/A,N/A,(718) 821-2580,N/A,N/A,N/A,N/A,3,4.5,$
Casual,"Thu, Fri, Sat",American (New),No,Yes,Spoon Table & Bar,"Murray Hill, Midtown East",No,Street,(646) 230-7000,Yes,No,Yes,Yes,278,4,$$
Casual,"Wed, Fri, Sat",American (Traditional),No,N/A,Phebe’s,East Village,No,Street,(212) 358-1902,Yes,Yes,N/A,Yes,531,3.5,$$
Casual,N/A,Burgers,No,Yes,Hudson Common,"Hell's Kitchen, Midtown West",Yes,"Valet, Street",(212) 554-6217,Yes,Yes,N/A,Yes,153,3.5,$$
N/A,N/A,Wine Bars,No,Yes,BIN No. 220,South Street Seaport,Yes,Street,(212) 374-9463,Yes,Yes,N/A,Yes,74,4,$$
Casual,"Thu, Fri, Sat",Sports Bars,N/A,N/A,Warren 77,TriBeCa,No,Street,(212) 227-8994,Yes,Yes,N/A,Yes,172,3,$$
Casual,"Thu, Fri, Sat",Bars,N/A,No,Sake Bar Decibel,East Village,No,Street,(212) 979-2733,No,No,N/A,Yes,895,4,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,Yes,Yes,The Lately,Chelsea,No,N/A,(212) 206-1096,Yes,Yes,Yes,Yes,50,2.5,$$
N/A,N/A,Bars,N/A,N/A,Manitoba’s,"Alphabet City, East Village",No,Street,(212) 982-2511,No,Yes,N/A,Yes,199,4,$
N/A,Thu,Bars,No,Yes,Left Hand Path,Bushwick,Yes,Street,(718) 417-1262,Yes,No,No,Yes,40,4.5,$$
N/A,N/A,Cocktail Bars,N/A,Yes,The Lovelace,Financial District,Yes,N/A,(212) 425-7171,Yes,No,N/A,Yes,22,3.5,$$
Casual,"Mon, Fri",Bars,N/A,Yes,Linen Hall,East Village,Yes,Street,(646) 602-9316,Yes,Yes,N/A,Yes,154,4,$$
Dressy,"Sat, Sun",American (New),No,No,Robert,"Hell's Kitchen, Midtown West",No,Street,(212) 299-7730,Yes,Yes,N/A,Yes,800,4,$$$
N/A,"Thu, Fri, Sat",Pool Halls,N/A,N/A,Fat Cat Music,West Village,No,Street,(212) 675-6056,N/A,No,N/A,Yes,1046,4,$
Casual,N/A,Burgers,N/A,N/A,The Randolph,Little Italy,Yes,"Garage, Street",(646) 383-3623,No,Yes,N/A,Yes,146,3.5,$$
N/A,"Thu, Fri, Sat",Sports Bars,No,Yes,Triona’s On Third,Gramercy,No,Street,(646) 448-4671,No,Yes,N/A,Yes,86,4,$$
N/A,N/A,Venues & Event Spaces,N/A,No,The Mayflower,Clinton Hill,No,N/A,(718) 576-3584,No,No,N/A,Yes,44,4,$$
Casual,Sat,Bars,No,No,Motel Morris,Chelsea,Yes,N/A,(646) 880-4810,Yes,Yes,Yes,Yes,125,4,$$$
N/A,N/A,Bars,N/A,Yes,Puffy’s Tavern,TriBeCa,No,Street,(212) 227-3912,No,Yes,N/A,Yes,85,4,$
N/A,N/A,Bars,N/A,N/A,Featherweight,East Williamsburg,No,Street,(646) 257-0946,No,No,N/A,No,122,4.5,$$
N/A,N/A,Cocktail Bars,Yes,No,Mood Ring,Bushwick,No,Street,(917) 818-1738,Yes,No,Yes,Yes,28,4,$$
Casual,"Wed, Thu, Sat",American (Traditional),No,Yes,Industry Kitchen,Financial District,Yes,N/A,(212) 487-9600,Yes,Yes,Yes,Yes,423,3.5,$$
Casual,Sun,Hookah Bars,No,Yes,Gardenia Terrace,"Hell's Kitchen, Midtown West",Yes,"Garage, Street",(212) 334-0489,Yes,Yes,Yes,Yes,109,4.5,$$$
N/A,"Thu, Fri, Sat",Lounges,No,No,Vandal,Lower East Side,No,Street,(212) 400-0199,Yes,No,Yes,Yes,1085,3.5,$$$
N/A,N/A,Bars,N/A,N/A,Pata Paplean Bar,Elmhurst,No,Street,(718) 651-2076,No,Yes,N/A,No,51,4,$$
N/A,N/A,Cocktail Bars,N/A,No,The Long Island Bar,Cobble Hill,No,Street,(718) 625-8908,Yes,No,N/A,Yes,117,4,$$
Casual,"Thu, Fri, Sat",Breakfast & Brunch,No,Yes,The Ditty,Astoria,Yes,Street,(347) 617-1747,No,No,Yes,Yes,171,4,$$
Casual,N/A,American (Traditional),No,No,Sister Jane NYC,East Village,No,Street,(917) 265-8234,Yes,Yes,Yes,Yes,26,4,$$
Casual,"Thu, Fri, Sat",American (Traditional),No,N/A,The Stumble Inn,"Upper East Side, Yorkville",Yes,Street,(212) 650-0561,No,Yes,N/A,Yes,418,3.5,$$
N/A,N/A,Dive Bars,Yes,Yes,duckduck,East Williamsburg,No,Street,(347) 799-1449,No,No,N/A,No,210,4,$
Casual,"Thu, Fri, Sat",Lounges,No,N/A,Donna,South Williamsburg,No,"Garage, Street",(646) 568-6622,Yes,No,N/A,Yes,143,4,$$
Casual,"Fri, Sat, Sun",Mexican,No,Yes,Lalito,Chinatown,No,Street,(646) 998-3408,Yes,No,N/A,Yes,108,4,$$
Casual,N/A,Steakhouses,No,Yes,Boucherie - Park,"Gramercy, Flatiron",No,Street,(800) 437-6189,Yes,No,Yes,Yes,272,4.5,$$$
Casual,"Thu, Fri, Sat",Pubs,No,N/A,Peculier Pub,Greenwich Village,No,Street,(212) 353-1327,No,Yes,N/A,No,376,3.5,$
N/A,N/A,Dive Bars,N/A,Yes,Mulberry Street Bar,Civic Center,Yes,Street,(212) 226-9345,No,Yes,N/A,Yes,137,3.5,$$
N/A,"Thu, Fri, Sat",Sports Bars,No,N/A,Lansdowne Road,"Hell's Kitchen, Midtown West",No,Street,(212) 239-8020,No,Yes,N/A,Yes,401,4,$$
Casual,"Thu, Fri, Sat",Irish Pub,No,N/A,Dylan Murphy’s,"Upper East Side, Yorkville",No,Street,(212) 988-9434,Yes,Yes,N/A,Yes,146,4,$$
N/A,N/A,Pubs,N/A,N/A,The Upstairs Pub,"Midtown East, Murray Hill",No,N/A,(212) 986-0500,No,Yes,N/A,Yes,12,3.5,$
N/A,"Thu, Fri, Sat",Beer Bar,No,Yes,Rattle N Hum West,"Midtown West, Hell's Kitchen",No,Street,(917) 262-0423,No,Yes,Yes,Yes,95,3.5,$$
N/A,Sat,Lounges,No,Yes,Madison Club Lounge,Midtown East,No,N/A,(212) 661-9600,Yes,Yes,N/A,Yes,28,4,$$
N/A,N/A,Lounges,N/A,N/A,Lizard Lounge,"Theater District, Midtown West",Yes,N/A,(212) 265-6900,N/A,Yes,N/A,Yes,9,3.5,$$
Casual,"Fri, Sat",Mexican,No,Yes,Empellón,Midtown East,No,Street,(212) 858-9365,Yes,No,Yes,Yes,220,4,$$$
Casual,Fri,Irish,No,Yes,The Grafton,East Village,Yes,Street,(929) 226-0464,Yes,Yes,Yes,Yes,60,4,$$
N/A,N/A,Lounges,N/A,No,King Cole Bar,Midtown East,No,N/A,(212) 339-6857,Yes,No,N/A,Yes,215,3.5,$$$
N/A,N/A,Venues & Event Spaces,N/A,Yes,W XYZ Bar,Financial District,Yes,Garage,(212) 513-0003,No,Yes,Yes,Yes,1,5,$$
Casual,N/A,Greek,No,Yes,The Greek,TriBeCa,No,"Garage, Street",(646) 476-3941,Yes,No,Yes,Yes,444,4.5,$$$
Casual,"Thu, Fri, Sun",Lounges,N/A,N/A,Antique Garage,SoHo,Yes,Street,(212) 219-1019,Yes,No,Yes,Yes,361,3.5,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Lion Lion,East Harlem,Yes,"Garage, Street",(917) 262-0517,No,No,N/A,Yes,57,4.5,$$
N/A,N/A,Cocktail Bars,No,Yes,The Green Room,"Gramercy, Kips Bay",No,N/A,(212) 477-6161,No,No,N/A,Yes,25,4,$$
N/A,"Thu, Fri, Sat",Pizza,No,Yes,Loverboy,"Alphabet City, East Village",No,Street,(212) 539-1900,No,No,N/A,Yes,35,4.5,$$
Casual,N/A,Dive Bars,No,Yes,Tempest Bar,"Chelsea, Midtown West",No,Street,(212) 643-1502,No,Yes,N/A,Yes,108,3.5,$$
N/A,N/A,Tacos,No,Yes,Bar Taco,"Alphabet City, East Village",No,Street,(646) 559-4648,No,Yes,Yes,Yes,17,4,$$
N/A,"Thu, Fri, Sat",Breweries,No,No,LIC Beer Project,Long Island City,No,Street,(917) 832-6840,No,No,Yes,Yes,91,4,$
Casual,N/A,Wine Bars,No,Yes,Cello Wine Bar,Midtown East,No,Street,(917) 475-1131,Yes,Yes,N/A,Yes,179,4,$$
N/A,"Thu, Fri, Sat",Pubs,N/A,N/A,Walter’s Bar,"Chelsea, Midtown West",No,Street,(212) 502-4023,N/A,Yes,N/A,Yes,64,3.5,$
Casual,N/A,Burgers,No,N/A,Bravest,"Murray Hill, Midtown East",No,Street,(212) 683-3766,No,Yes,N/A,Yes,179,4,$$
N/A,Thu,Lounges,No,No,Grand Salon,Midtown West,No,N/A,(212) 790-8800,Yes,No,N/A,Yes,20,4,$$$$
N/A,N/A,Dive Bars,N/A,N/A,Dave’s Tavern,"Midtown West, Hell's Kitchen, Theater District",No,Street,(212) 244-4408,No,Yes,N/A,Yes,61,3.5,$$
N/A,N/A,Brewpubs,N/A,Yes,Braven Brewing,"East Williamsburg, Bushwick",N/A,Street,(929) 295-6673,N/A,N/A,Yes,Yes,7,5,$
N/A,"Thu, Fri, Sat",Lounges,Yes,Yes,Monarch Rooftop,Midtown West,Yes,Street,(212) 630-9993,Yes,Yes,Yes,Yes,421,3,$$
N/A,N/A,Bars,N/A,N/A,Liquid Assets,Financial District,No,N/A,(212) 693-2001,N/A,N/A,N/A,Yes,4,3,$$
Casual,"Thu, Fri, Sat",Sports Bars,N/A,N/A,Taproom No. 307,Kips Bay,Yes,Street,(212) 725-4766,Yes,Yes,N/A,Yes,440,3.5,$$
N/A,N/A,Pubs,N/A,Yes,Josie Woods Pub,Greenwich Village,No,Street,(212) 228-9909,N/A,Yes,N/A,Yes,118,3.5,$$
N/A,"Mon, Fri, Sat",Beer Gardens,Yes,N/A,The Well,East Williamsburg,Yes,Street,(347) 338-3612,N/A,No,N/A,Yes,118,4,$$
Casual,N/A,American (Traditional),No,N/A,SoHo Room,South Village,No,Street,(212) 334-3855,Yes,Yes,N/A,Yes,144,3,$$
N/A,N/A,Breweries,N/A,N/A,Big aLICe Brewing,Long Island City,N/A,Street,(347) 688-2337,N/A,N/A,N/A,Yes,91,4.5,$
Casual,"Fri, Sat, Sun",Beer Bar,No,Yes,Bierocracy,"Hunters Point, Long Island City",No,Street,(718) 361-9333,Yes,Yes,Yes,Yes,238,4,$$
Casual,N/A,American (New),No,Yes,Nickel & Diner,"Little Italy, SoHo",Yes,Street,(646) 870-6100,Yes,No,Yes,Yes,323,4,$$
Formal (Jacket Required),"Thu, Fri, Sat",French,No,No,Daniel,Upper East Side,No,N/A,(212) 288-0033,Yes,No,Yes,Yes,1439,4.5,$$$$
Casual,Fri,Mexican,No,Yes,La Contenta Oeste,Greenwich Village,Yes,Street,(212) 533-2233,Yes,No,N/A,Yes,98,4,$$
N/A,"Thu, Fri, Sat",Pubs,N/A,Yes,O’Reilly’s Pub,"Koreatown, Midtown West",Yes,Street,(212) 684-4244,No,Yes,N/A,Yes,193,3,$$
Casual,N/A,American (New),No,No,The Eddy,East Village,No,Street,(646) 895-9884,Yes,No,N/A,Yes,343,4.5,$$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,Yes,The Daisy,"Yorkville, Upper East Side",Yes,"Garage, Street",(646) 964-5756,Yes,No,Yes,Yes,186,3.5,$$
N/A,Sat,Cocktail Bars,No,Yes,Fresh Kills Bar,Williamsburg - North Side,No,N/A,(718) 599-7888,No,No,N/A,Yes,80,4.5,$$
Casual,"Wed, Fri, Sun",Bars,No,Yes,Crompton Ale House,Chelsea,No,Street,(212) 658-0089,Yes,Yes,Yes,Yes,142,3.5,$$
N/A,"Wed, Fri, Sat",Bars,N/A,Yes,Ace Bar,"East Village, Alphabet City",No,Street,(212) 979-8476,Yes,Yes,Yes,Yes,349,3.5,$
Dressy,N/A,American (New),N/A,Yes,The Musket Room,Nolita,No,Street,(212) 219-0764,Yes,No,N/A,Yes,368,4.5,$$$
N/A,Sat,Cocktail Bars,No,Yes,Sweet Polly,Prospect Heights,No,Street,(718) 484-9600,Yes,No,Yes,Yes,85,4.5,$$
N/A,N/A,Lounges,N/A,Yes,The Emerson,"Clinton Hill, Bedford Stuyvesant",Yes,Street,(347) 763-1310,No,Yes,N/A,No,72,4,$$
N/A,N/A,Dive Bars,Yes,Yes,Lone Wolf,"Bushwick, Bedford Stuyvesant",No,Street,(347) 240-9542,No,No,N/A,Yes,96,4,$
N/A,N/A,Cocktail Bars,No,Yes,The Holler,"Clinton Hill, Bedford Stuyvesant",Yes,Street,(917) 966-5723,No,No,No,Yes,13,5,$$
Casual,N/A,Beer Bar,No,Yes,BeerZaar,South Village,No,N/A,(212) 256-0014,No,No,N/A,Yes,25,4,$$
Dressy,"Thu, Fri, Sat",Bars,No,No,Gabriel Kreuther,Midtown West,No,N/A,(212) 257-5826,Yes,No,Yes,Yes,299,4.5,$$$$
Casual,"Thu, Fri, Sat",Sports Bars,No,N/A,House of Brews,"Theater District, Midtown West, Hell's Kitchen",Yes,"Garage, Street",(212) 541-7080,Yes,Yes,N/A,Yes,417,4,$$
Casual,"Wed, Thu, Fri",Cocktail Bars,No,Yes,Conmigo,"Yorkville, Upper East Side",No,Street,(212) 256-0056,Yes,No,Yes,Yes,129,4,$$
Casual,Mon,American (New),N/A,Yes,Prospect,Fort Greene,Yes,Street,(718) 596-6826,Yes,No,N/A,Yes,215,4,$$$
N/A,"Thu, Fri, Sat",Dive Bars,No,Yes,Boobie Trap,Bushwick,No,N/A,(347) 240-9105,N/A,No,Yes,Yes,217,4,$
